Mean,Max,Min,Std,Range,Season,Sunday,Am,Lunch,Pm
1031881.9779724801,1131920.2950295554,931843.6609154048,100038.31705707533,200076.63411415066,1,0,1,0,0
307598.94902040274,319071.53233189025,296126.3657089152,11472.583311487513,22945.166622975026,1,0,1,0,0
248910.59486712987,264069.6359952709,233751.55373898882,15159.041128141049,30318.082256282098,1,0,1,0,0
171154.840152214,319064.31778889097,23245.36251553704,147909.47763667695,295818.95527335396,1,0,0,1,0
270652.29339383787,288055.51779505017,253249.0689926256,17403.224401212283,34806.448802424566,1,0,0,1,0
288577.67384147714,354805.7459360787,222349.60174687556,66228.07209460158,132456.14418920316,1,0,0,1,0
227282.42104323357,314662.0221944868,139902.81989198033,87379.60115125324,174759.20230250648,1,0,0,1,0
226715.43518175866,258741.13187706232,194689.738486455,32025.69669530366,64051.39339060732,1,0,0,1,0
208337.47902929343,297407.0368113492,119267.92124723767,89069.55778205578,178139.11556411156,1,0,0,1,0
972010.734127756,1080347.6928433196,863673.7754121922,108336.95871556371,216673.9174311274,1,0,0,0,1
1004211.1916030294,1006381.2506120108,1002041.132594048,2170.0590089813923,4340.1180179627845,1,0,0,0,1
1077999.4326775873,1120693.3032388526,1035305.5621163219,42693.87056126539,85387.74112253077,1,0,0,0,1
970750.9545738484,1003548.7174160846,937953.1917316122,32797.7628422362,65595.5256844724,1,0,0,0,1
974242.832664019,990551.1286405356,957934.5366875022,16308.295976516732,32616.591953033465,1,0,0,0,1
1055582.7667152216,1119973.4976779888,991192.0357524543,64390.730962767266,128781.46192553453,1,0,1,0,0
970708.52873718,981813.9782328188,959603.0792415413,11105.44949563872,22210.89899127744,1,0,1,0,0
